,jop_title,company_name,location,type,links
59,Implementation Engineer,Trufla -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/K3jdL18dal1E-Implementation-Engineer-Trufla-Cairo-Egypt?o=60&l=sp&t=sj&a=data%20science|search-v3|hpb
60,Senior Data Analyst,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ZCEoSVUTHVP3-Senior-Data-Analyst-Cairo-Egypt?o=61&l=sp&t=sj&a=data%20science|search-v3|hpb
61,Head of Science Department - UAE,Liwa Education  -,"Al Ain, United Arab Emirates ",Full Time,https://wuzzuf.net/jobs/p/MCMyfGVYPQJl-Head-of-Science-Department---UAE-Liwa-Education-Al-Ain-United-Arab-Emirates?o=62&l=sp&t=sj&a=data%20science|search-v3|hpb
62,Power BI Developer,Sutherland -,"Alexandria, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/ChZqSmbjw5i9-Power-BI-Developer-Sutherland-Alexandria-Egypt?o=63&l=sp&t=sj&a=data%20science|search-v3|hpb
63,Senior R&D Analyst,Z2 Data -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/3Prgdh0XYKnp-Senior-RD-Analyst-Z2-Data-Cairo-Egypt?o=64&l=sp&t=sj&a=data%20science|search-v3|hpb
64,Senior Software Business Analyst / ERP,Confidential -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/IEhjrumWL67P-Senior-Software-Business-Analyst-ERP-Cairo-Egypt?o=65&l=sp&t=sj&a=data%20science|search-v3|hpb
65,Database Administrator,Perfect Presentation -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/20bdQ07Rkb5C-Database-Administrator-Perfect-Presentation-Giza-Egypt?o=66&l=sp&t=sj&a=data%20science|search-v3|hpb
66,Database Administrator,Egyptian Medical Syndicates Union -,"Garden City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/9txtopQlonT0-Database-Administrator-Egyptian-Medical-Syndicates-Union-Cairo-Egypt?o=67&l=sp&t=sj&a=data%20science|search-v3|hpb
67,Junior Data Quality Engineer,Worex -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Mf1k9Dc3poFD-Junior-Data-Quality-Engineer-Worex-Cairo-Egypt?o=68&l=sp&t=sj&a=data%20science|search-v3|hpb
68,Information Security Senior Supervisor,Xceed -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ckEo4yjQ4Y4a-Information-Security-Senior-Supervisor-Xceed-Cairo-Egypt?o=69&l=sp&t=sj&a=data%20science|search-v3|hpb
