,Model,Year,Show_Room,Mileage,Specs,Price
104,Range Rover Sport HSE,2016,Sana Signal,"81,000 KM",   Automatic   white   3.00 Lt.   6 Cylinder   Supercharged   black,"48,210 USD"
105,Range Rover Sport HSE,2015,Sana Signal,"67,000 KM",   Automatic   silver   3.00 Lt.   6 Cylinder   Supercharged   black,"65,841 USD"
106,Lotus Evora GT,2022,Crazy Signal,"2,900 KM",   Automatic   White   3.50 Lt.   6 Cylinder   Supercharged   Red & Black,"192,562 USD"
107,Audi Q5 45 TFSI SportBack,2021,Mawater City,"10,000 KM",   Automatic   Silver   2.00 Lt.   4 Cylinder   TurboCharged   Black,"32,783 USD"
108,BMW Z4 SDrive 2.0i,2021,Mawater City,"2,200 KM",   Automatic   White   2.00 Lt.   4 Cylinder   TurboCharged   Red,"29,202 USD"
109,Lotus Evora GT,2022,Crazy Signal,"1,900 KM",   Automatic   Gray   3.50 Lt.   6 Cylinder   Supercharged   Red,"19,147 USD"
110,Nissan Patrol XE,2017,Mawater City,"165,000 KM",   Automatic   White   4.00 Lt.   6 Cylinder   Naturally Aspirated   Black,"23,692 USD"
111,MG RX8 3.0T 4WD,2020,Sana Signal,"51,000 KM",   Automatic   brown   2.00 Lt.   4 Cylinder   TurboCharged   black,"32,783 USD"
112,Jeep Wrangler Sahara,2022,Mawater City,0 KM,   Automatic   Black   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"64,421 USD"
113,BMW X5 3.5i,2016,Mawater City,"91,000 KM",   Automatic   Silver   3.00 Lt.   6 Cylinder   TurboCharged   Brown,"14,017 USD"
114,Jeep Grand Cherokee Limited L,2021,Mawater City,0 KM,   Automatic   Gray   3.60 Lt.   6 Cylinder   Naturally Aspirated   Beige,"22,912 USD"
115,Toyota Camry  LE,2022,Crazy Signal,0 KM,   Automatic   White   2.50 Lt.   4 Cylinder   Naturally Aspirated   Beige,"25,607 USD"
116,Dodge Charger RT,2016,Mawater City,"64,000 KM",   Automatic   Red   5.70 Lt.   8 Cylinder   Naturally Aspirated   Black & Off White,"8,626 USD"
117,GMC Sierra SLE Z71,2018,Sana Signal,"67,000 KM",   Automatic   white   6.20 Lt.   8 Cylinder   Naturally Aspirated   black,"42,858 USD"
118,Mercedes Benz GLE400,2017,Mawater City,"73,000 KM",   Automatic   White   3.00 Lt.   6 Cylinder   TurboCharged   Brown,"16,712 USD"
119,Jeep Wrangler Sahara,2022,Mawater City,0 KM,   Automatic   Green   3.60 Lt.   6 Cylinder   Naturally Aspirated   black,"54,821 USD"
120,Audi A8 L,2017,Sana Signal,"65,000 KM",   Automatic   black   3.00 Lt.   6 Cylinder   TurboCharged   brown,"19,147 USD"
121,Range Rover Vogue SE Supercharged,2019,Mawater City,"67,000 KM",   Automatic   white   5.00 Lt.   8 Cylinder   Supercharged   Brown,"23,990 USD"
122,Jeep SRT V8,2012,Mawater City,"76,000 KM",   Manual   Black   6.40 Lt.   8 Cylinder   Naturally Aspirated   Black,"121,025 USD"
123,Tesla Model 3 Performance,2022,Mawater City,0 KM,   Automatic   Blue   20.00 Lt.   4 Cylinder   Electric   `white,"17,521 USD"
124,Ford Mustang GT,2015,Mawater City,"25,000 KM",   Automatic   Purple   5.00 Lt.   8 Cylinder   Naturally Aspirated   Black,"34,771 USD"
125,Jeep Wrangler Rubicon 392,2021,Mawater City,0 KM,   Automatic   Black   6.40 Lt.   8 Cylinder   Naturally Aspirated   Black,"19,408 USD"
126,Jeep Wrangler Sahara,2022,Mawater City,0 KM,   Automatic   Silver   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"39,394 USD"
127,BMW X7 M50i,2021,Mawater City,"10,000 KM",   Automatic   Black   4.40 Lt.   8 Cylinder   TurboCharged   Brown,"38,293 USD"
128,Ford Raptor,2020,Mawater City,"37,000 KM",   Automatic   Gray   3.50 Lt.   6 Cylinder   TurboCharged   Black & Blue,"39,394 USD"
129,Mercedes Benz A250,2019,Dubai Free Zone,"51,000 KM",   Automatic   Silver   2.00 Lt.   4 Cylinder   TurboCharged   Red,"61,984 USD"
130,BMW 750 LI,2020,Dubai Free Zone,"43,000 KM",   Automatic   Black   4.40 Lt.   8 Cylinder   TurboCharged   Brown,"19,147 USD"
131,Kia Cerato LX,2020,Dubai Free Zone,"35,000 KM",   Automatic   Silver   1.60 Lt.   4 Cylinder   Naturally Aspirated   Black,"29,202 USD"
132,Mini Cooper S JCW,2016,Dubai Free Zone,"103,000 KM",   Automatic   Beige   2.00 Lt.   4 Cylinder   TurboCharged   Black,"23,967 USD"
133,Nissan Patrol Super Safari,2021,Mawater City,0 KM,   Manual   White   4.80 Lt.   6 Cylinder   Naturally Aspirated   Brown,"68,596 USD"
134,Dodge Durango GT,2017,Sana Signal,"51,000 KM",   Automatic   red   3.60 Lt.   6 Cylinder   Naturally Aspirated   beige,"23,692 USD"
135,Chevrolet Equinox LT,2021,Crazy Signal,"10,000 KM",   Automatic   Black   1.50 Lt.   4 Cylinder   TurboCharged   Beige,"45,553 USD"
136,Mini Cooper Countryman,2014,Crazy Signal,"74,000 KM",   Manual   White   2.00 Lt.   4 Cylinder   TurboCharged   Black,"58,491 USD"
137,Ford Bronco Badlands,2021,Sana Signal,50 KM,   Automatic   red   2.30 Lt.   4 Cylinder   TurboCharged   black,"21,294 USD"
138,Ford Bronco,2021,Mawater City,0 KM,   Automatic   Silver   2.30 Lt.   4 Cylinder   TurboCharged   Black,"50,944 USD"
139,Ford Raptor,2019,Mawater City,"31,000 KM",   Automatic   Black   3.50 Lt.   6 Cylinder   TurboCharged   Black,"26,416 USD"
140,Ferrari F12 Berlinetta,2014,Mawater City,"17,000 KM",   Automatic   Red   6.30 Lt.   12 Cylinder   Naturally Aspirated   Beige,"57,952 USD"
141,Dodge Challenger SXT,2021,West Bay,0 KM,   Automatic   Silver   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"35,580 USD"
142,Mitsubishi Pajero 3.0 Gold Edition Mid Options,2022,West Bay,0 KM,   Automatic   White   3.00 Lt.   6 Cylinder   Naturally Aspirated   Cream,"23,990 USD"
143,Geely Coolray 1.5 Sport Plus,2022,West Bay,0 KM,   Automatic   White   1.50 Lt.   3 Cylinder   TurboCharged   Black & Red,"37,467 USD"
144,Nissan Patrol XE,2017,Crazy Signal,"188,000 KM",   Automatic   White   4.00 Lt.   6 Cylinder   Naturally Aspirated   Black,"37,467 USD"
145,Fiat 124 Spider,2019,Sana Signal,"8,000 KM",   Automatic   red   1.40 Lt.   4 Cylinder   TurboCharged   beige,"42,858 USD"
146,Fiat Abarth 595 Scorpioneoro,2022,Sana Signal,"14,000 KM",   Automatic   blue   1.40 Lt.   4 Cylinder   TurboCharged   black,"56,335 USD"
147,Toyota Land Cruiser GXR Grand Touring,2021,Dubai Free Zone,"36,000 KM",   Automatic   White   4.00 Lt.   6 Cylinder   Naturally Aspirated   Brown,"56,335 USD"
148,Subaru BRZ,2016,Dubai Free Zone,"127,000 KM",   Manual   White   2.00 Lt.   4 Cylinder   Naturally Aspirated   Black,"25,607 USD"
149,Kia Seltos LX,2021,Dubai Free Zone,"6,000 KM",   Automatic   Gray   1.60 Lt.   4 Cylinder   Naturally Aspirated   Black,"18,599 USD"
150,Audi S8,2014,Dubai Free Zone,"164,000 KM",   Automatic   Black   4.00 Lt.   8 Cylinder   TurboCharged   Brown,"52,561 USD"
151,Chevrolet Aveo,2019,Dubai Free Zone,"106,000 KM",   Automatic   Red   1.40 Lt.   4 Cylinder   Naturally Aspirated   Beige,"14,556 USD"
152,Jeep Grand Cherokee SRT,2015,Dubai Free Zone,"30,000 KM",   Automatic   White   6.40 Lt.   8 Cylinder   Naturally Aspirated   Black,"69,812 USD"
153,Mitsubishi Pajero 3.5,2015,Dubai Free Zone,"91,000 KM",   Automatic   Gold   3.50 Lt.   6 Cylinder   Naturally Aspirated   Beige,"69,812 USD"
154,Ford Mustang GT Convertible,2021,Mawater City,"4,000 KM",   Automatic   Black   5.00 Lt.   8 Cylinder   Naturally Aspirated   Red,"16,173 USD"
155,Geely Coolray,2022,Mawater City,0 KM,   Automatic   White   1.50 Lt.   3 Cylinder   TurboCharged   Black & Red,"41,779 USD"
156,Honda Accord Sport,2018,Dubai Free Zone,"82,000 KM",   Automatic   Blue   1.50 Lt.   4 Cylinder   TurboCharged   Black,"46,557 USD"
157,Dodge Ram TRX 6.2L Supercharged,2022,Dubai Free Zone,"1,000 KM",   Automatic   Red   6.20 Lt.   8 Cylinder   Supercharged   Black,"72,452 USD"
